FBgn0000150	reaction	FBgn0267339
FBgn0036104	reaction	FBgn0045862
FBgn0000559	reaction	FBgn0001230
FBgn0003941	reaction	FBgn0050181
FBgn0262513	reaction	FBgn0283666
FBgn0000261	reaction	FBgn0036892
FBgn0030449	reaction	FBgn0266599
FBgn0015791	reaction	FBgn0260657
FBgn0029812	reaction	FBgn0261014
FBgn0032775	reaction	FBgn0051549
FBgn0259221	reaction	FBgn0266720
FBgn0037220	reaction	FBgn0045862
FBgn0004657	reaction	FBgn0028668
FBgn0015791	reaction	FBgn0032294
FBgn0013746	reaction	FBgn0026777
FBgn0032162	reaction	FBgn0035588
FBgn0001250	reaction	FBgn0015519
FBgn0023174	reaction	FBgn0278608
FBgn0014018	reaction	FBgn0042711
FBgn0028687	reaction	FBgn0262743
FBgn0001233	reaction	FBgn0263106
FBgn0028561	reaction	FBgn0030993
FBgn0266599	reaction	FBgn0278608
FBgn0001986	reaction	FBgn0005648
FBgn0000559	reaction	FBgn0013276
FBgn0000173	reaction	FBgn0011604
FBgn0015286	reaction	FBgn0052699
FBgn0005655	reaction	FBgn0028382
FBgn0000108	reaction	FBgn0086906
FBgn0024352	reaction	FBgn0050156
FBgn0003256	reaction	FBgn0034442
FBgn0023174	reaction	FBgn0050378
FBgn0038324	reaction	FBgn0085446
FBgn0014868	reaction	FBgn0262513
FBgn0031037	reaction	FBgn0086558
FBgn0004629	reaction	FBgn0033873
FBgn0038511	reaction	FBgn0266599
FBgn0030747	reaction	FBgn0033706
FBgn0034628	reaction	FBgn0035169
FBgn0003205	reaction	FBgn0004118
FBgn0001986	reaction	FBgn0031493
FBgn0052703	reaction	FBgn0259680
FBgn0000559	reaction	FBgn0017579
FBgn0003256	reaction	FBgn0016697
FBgn0000064	reaction	FBgn0002284
FBgn0028667	reaction	FBgn0037551
FBgn0010602	reaction	FBgn0011604
FBgn0004636	reaction	FBgn0014868
FBgn0001248	reaction	FBgn0026378
FBgn0011742	reaction	FBgn0028382
FBgn0038808	reaction	FBgn0261014
FBgn0014011	reaction	FBgn0015789
FBgn0003942	reaction	FBgn0260453
FBgn0011745	reaction	FBgn0040308
FBgn0028382	reaction	FBgn0032813
FBgn0025866	reaction	FBgn0033836
FBgn0026761	reaction	FBgn0031322
FBgn0026250	reaction	FBgn0039296
FBgn0000259	reaction	FBgn0026181
FBgn0032061	reaction	FBgn0040212
FBgn0011742	reaction	FBgn0042711
